0.000,0.000,0.000
-1400.072,-105.841,0.000
-1309.831,-186.032,0.000
-1236.896,-227.353,0.000
-1170.636,-255.222,0.000
-1108.611,-274.852,0.000
-1049.023,-290.655,0.000
-990.775,-305.719,0.000
-935.176,-314.437,0.000
-880.391,-323.027,0.000
-826.661,-330.125,0.000
-774.122,-334.412,0.000
-722.095,-338.658,0.000
-670.758,-341.495,0.000
-620.029,-342.723,0.000
-569.591,-343.943,0.000
-519.580,-343.573,0.000
-469.878,-341.600,0.000
-420.260,-339.630,0.000
-370.693,-337.662,0.000
-321.149,-335.695,0.000
-271.596,-333.728,0.000
-222.004,-330.372,0.000
-172.266,-325.304,0.000
-122.320,-320.214,0.000
-72.133,-315.100,0.000
-21.674,-309.959,0.000
29.090,-304.786,0.000
80.310,-298.478,0.000
132.094,-290.913,0.000
184.375,-283.274,0.000
237.192,-275.558,0.000
290.588,-267.757,0.000
344.604,-259.865,0.000
399.610,-250.344,0.000
455.483,-240.292,0.000
512.197,-230.090,0.000
569.809,-219.725,0.000
628.374,-209.189,0.000
688.251,-197.499,0.000
749.526,-184.748,0.000
812.036,-171.740,0.000
875.858,-158.458,0.000
941.075,-144.887,0.000
1008.400,-129.453,0.000
1077.577,-113.190,0.000
1148.546,-96.505,0.000
1221.423,-79.371,0.000
1296.819,-60.762,0.000
1374.891,-40.728,0.000
1455.884,-19.163,0.000
1539.873,3.699,0.000
-1400.072,-105.841,1.000
-1309.831,-186.032,1.000
-1236.896,-227.353,1.000
-1170.636,-255.222,1.000
-1108.611,-274.852,1.000
-1049.023,-290.655,1.000
-990.775,-305.719,1.000
-935.176,-314.437,1.000
-880.391,-323.027,1.000
-826.661,-330.125,1.000
-774.122,-334.412,1.000
-722.095,-338.658,1.000
-670.758,-341.495,1.000
-620.029,-342.723,1.000
-569.591,-343.943,1.000
-519.580,-343.573,1.000
-469.878,-341.600,1.000
-420.260,-339.630,1.000
-370.693,-337.662,1.000
-321.149,-335.695,1.000
-271.596,-333.728,1.000
-222.004,-330.372,1.000
-172.266,-325.304,1.000
-122.320,-320.214,1.000
-72.133,-315.100,1.000
-21.674,-309.959,1.000
29.090,-304.786,1.000
80.310,-298.478,1.000
132.094,-290.913,1.000
184.375,-283.274,1.000
237.192,-275.558,1.000
290.588,-267.757,1.000
344.604,-259.865,1.000
399.610,-250.344,1.000
455.483,-240.292,1.000
512.197,-230.090,1.000
569.809,-219.725,1.000
628.374,-209.189,1.000
688.251,-197.499,1.000
749.526,-184.748,1.000
812.036,-171.740,1.000
875.858,-158.458,1.000
941.075,-144.887,1.000
1008.400,-129.453,1.000
1077.577,-113.190,1.000
1148.546,-96.505,1.000
1221.423,-79.371,1.000
1296.819,-60.762,1.000
1374.891,-40.728,1.000
1455.884,-19.163,1.000
1539.873,3.699,1.000
-1400.072,-105.841,2.000
-1309.831,-186.032,2.000
-1236.896,-227.353,2.000
-1170.636,-255.222,2.000
-1108.611,-274.852,2.000
-1049.023,-290.655,2.000
-990.775,-305.719,2.000
-935.176,-314.437,2.000
-880.391,-323.027,2.000
-826.661,-330.125,2.000
-774.122,-334.412,2.000
-722.095,-338.658,2.000
-670.758,-341.495,2.000
-620.029,-342.723,2.000
-569.591,-343.943,2.000
-519.580,-343.573,2.000
-469.878,-341.600,2.000
-420.260,-339.630,2.000
-370.693,-337.662,2.000
-321.149,-335.695,2.000
-271.596,-333.728,2.000
-222.004,-330.372,2.000
-172.266,-325.304,2.000
-122.320,-320.214,2.000
-72.133,-315.100,2.000
-21.674,-309.959,2.000
29.090,-304.786,2.000
80.310,-298.478,2.000
132.094,-290.913,2.000
184.375,-283.274,2.000
237.192,-275.558,2.000
290.588,-267.757,2.000
344.604,-259.865,2.000
399.610,-250.344,2.000
455.483,-240.292,2.000
512.197,-230.090,2.000
569.809,-219.725,2.000
628.374,-209.189,2.000
688.251,-197.499,2.000
749.526,-184.748,2.000
812.036,-171.740,2.000
875.858,-158.458,2.000
941.075,-144.887,2.000
1008.400,-129.453,2.000
1077.577,-113.190,2.000
1148.546,-96.505,2.000
1221.423,-79.371,2.000
1296.819,-60.762,2.000
1374.891,-40.728,2.000
1455.884,-19.163,2.000
1539.873,3.699,2.000
-1400.072,-105.841,3.000
-1309.831,-186.032,3.000
-1236.896,-227.353,3.000
-1170.636,-255.222,3.000
-1108.611,-274.852,3.000
-1049.023,-290.655,3.000
-990.775,-305.719,3.000
-935.176,-314.437,3.000
-880.391,-323.027,3.000
-826.661,-330.125,3.000
-774.122,-334.412,3.000
-722.095,-338.658,3.000
-670.758,-341.495,3.000
-620.029,-342.723,3.000
-569.591,-343.943,3.000
-519.580,-343.573,3.000
-469.878,-341.600,3.000
-420.260,-339.630,3.000
-370.693,-337.662,3.000
-321.149,-335.695,3.000
-271.596,-333.728,3.000
-222.004,-330.372,3.000
-172.266,-325.304,3.000
-122.320,-320.214,3.000
-72.133,-315.100,3.000
-21.674,-309.959,3.000
29.090,-304.786,3.000
80.310,-298.478,3.000
132.094,-290.913,3.000
184.375,-283.274,3.000
237.192,-275.558,3.000
290.588,-267.757,3.000
344.604,-259.865,3.000
399.610,-250.344,3.000
455.483,-240.292,3.000
512.197,-230.090,3.000
569.809,-219.725,3.000
628.374,-209.189,3.000
688.251,-197.499,3.000
749.526,-184.748,3.000
812.036,-171.740,3.000
875.858,-158.458,3.000
941.075,-144.887,3.000
1008.400,-129.453,3.000
1077.577,-113.190,3.000
1148.546,-96.505,3.000
1221.423,-79.371,3.000
1296.819,-60.762,3.000
1374.891,-40.728,3.000
